Electricity:Facility,Photovoltaic:ElectricityProduced,ElectricityProduced:Facility,ElectricityPurchased:Facility,ElectricitySurplusSold:Facility,ElectricityNet:Facility
263115039134.27695,51110113975.36206,50087911695.85457,217677162087.8934,4650034649.446115,213027127438.4491
222493580671.7053,51130116002.33468,50107513682.28761,177636045985.2665,5249978995.873488,172386066989.39188
222373258752.60764,49394007234.19623,48406127089.511894,178842571818.40225,4875440155.326035,173967131663.07642
135731140739.70142,49385014771.77886,48397314476.34314,93263073877.58232,5929247614.21812,87333826263.36581
138597392628.30292,51132736610.19988,50110081877.99603,94786441709.44905,6299130959.157142,88487310750.2899
127789504647.51952,49871515908.023605,48874085589.862366,85273322630.97137,6357903573.318237,78915419057.65056
221512492028.58423,49859696735.61817,48862502800.905525,177579613761.3357,4929624533.65734,172649989227.67917
183788916995.2643,51124993453.07003,50102493584.00871,139318935941.78586,5632512530.528746,133686423411.2571
185519074582.4646,51126011196.02164,50103490972.100746,140983146037.30496,5567562426.917571,135415583610.38977
151251648947.6711,51118653245.196724,50096280180.292435,107172919286.88559,6017550519.477076,101155368767.40872
121471948126.46996,51121070737.72585,50098649322.97147,78317495471.40274,6944196667.932315,71373298803.46196
131354353792.29369,49181913509.58519,48198275239.393684,89271968176.77386,6115889623.863469,83156078552.91302
148617156191.1407,51074689098.52971,50053195316.55905,104714830780.77678,6150869906.19889,98563960874.57909
144907655286.22174,50661519173.63622,49648288790.16348,101301643367.74902,6042276871.677497,95259366496.07129
256118543233.66953,51046681945.87077,50025748306.9534,210884827455.1837,4792032528.469258,206092794926.7155
176209131898.56555,49384522091.67205,48396831649.83843,133200749233.57497,5388448984.842574,127812300248.73323
228025932181.56882,51136567317.55042,50113835971.19894,182934025547.18842,5021929336.810706,177912096210.3765
157549924280.65717,51133535403.39625,50110864695.328156,113377759196.93378,5938699611.613155,107439059585.32007
206672665865.45822,51082234725.1483,50060590030.64552,161898538484.55975,5286462649.764181,156612075834.79498
255840804918.0966,49735953368.45095,48741234301.08184,211784894984.28152,4685324367.299148,207099570616.98236
233159540758.73465,51136684429.313156,50113950740.7264,188129417887.40704,5083827869.369025,183045590018.04062
228438550419.05396,49839499256.15203,48842709271.02888,184478910536.13123,4883069388.07273,179595841148.0621
242738049672.04196,51136680579.41603,50113946967.8279,197647050833.4763,5022948129.293674,192624102704.1804
166382647586.41785,51044016112.97526,50023135790.71573,122245272873.51068,5885761077.795562,116359511795.71396
151342638740.49988,50481274766.58379,49471649271.25233,107843034731.12573,5972045261.857233,101870989469.26878
123449514914.9068,50857128597.3789,49839986025.431114,80117668287.00372,6508139397.528948,73609528889.47731
122681832101.01859,50951560461.7552,49932529252.52033,79393402664.02805,6644099815.55342,72749302848.4649
172177220003.64746,51120154537.04664,50097751446.30609,127798953898.4799,5719485341.178707,122079468557.30116
137814512107.5222,49586289631.74479,48594563839.1097,95142573479.75092,5922625211.330281,89219948268.42271
234074568299.43845,51105700334.83728,50083586328.141045,189087626724.45987,5096644753.195913,183990981971.26376
214579125532.52332,51085645609.90708,50063932697.70884,169725087028.47272,5209894193.675238,164515192834.7926
182835199816.56122,49810801351.312744,48814585324.286865,139359894132.14658,5339279639.89423,134020614492.25137
180538862722.968,49258180343.645935,48273016736.77289,137582731038.17993,5316885051.941519,132265845986.24004
184526319374.57742,49426747050.02917,48438212109.028694,141340340843.01404,5252233577.479306,136088107265.53676
160461786996.0138,49412159820.379364,48423916623.97146,117727947286.80135,5690076914.794934,112037870372.00626
166887382614.59857,51122571092.63591,50100119670.78293,122620112950.83093,5832850006.988418,116787262943.8413
235436249699.75388,51132666884.41431,50110013546.72608,190383537730.07388,5057301577.012302,185326236153.0656
263975329154.29205,49239244452.729774,48254459563.67601,220115826570.53574,4394956979.937266,215720869590.59796
255671432230.32672,51117910530.24063,50095552319.63555,210313396502.9924,4737516592.3031845,205575879910.68988
246343143362.94687,50861717337.428314,49844482990.67933,201363906572.0693,4865246199.813105,196498660372.25735
210240643269.73495,49733849063.32871,48739172082.06146,166542436452.8782,5040965265.227528,161501471187.64725
237860066852.429,51112326804.095985,50090080268.013756,192716156099.10672,4946169514.691574,187769986584.41678
266154597569.92337,49827933868.28556,48831375190.91969,221847465200.67953,4524242821.666066,217323222379.0133
207090370501.14905,50227047664.85354,49222506711.55627,163091636107.88925,5223772318.250311,157867863789.64337
211655853949.45605,51038320041.081924,50017553640.26102,166906746965.84885,5268446656.628052,161638300309.2248
239042064742.01706,50915016644.831665,49896716311.93548,194109924512.02625,4964576081.985558,189145348430.0376
277356100819.9376,51096362659.08783,50074435405.90557,231929066458.13626,4647401044.087393,227281665414.0511
231193885445.27075,50628646931.701256,49616073993.0668,186511804365.09073,4933992912.92579,181577811452.16113
141028118552.0212,50262252068.92808,49257007027.54927,97873487346.85017,6102375822.372324,91771111524.47942
149132659741.1495,50643002489.747284,49630142439.952385,105518323867.69278,6015806566.524987,99502517301.16678
174415348233.27988,50843792967.84407,49826917108.48702,130262433947.60512,5674002822.786748,124588431124.81909
148052643612.9889,50325874531.448235,49319357040.81901,104666642401.01459,5933355828.825833,98733286572.18945
191903997763.8494,51044227442.4197,50023342893.571365,147339268268.2782,5458613398.012646,141880654870.2634
275645962630.99255,50881881429.402115,49864243800.81382,230373512672.1915,4591793842.021167,225781718830.1692
162645530559.82178,50643949049.96405,49631070068.96472,118826936170.16325,5812475679.321463,113014460490.84398
