Time,THERMAL ZONE 1:MELBOURNE RGNL AP ANN HTG 99% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:MELBOURNE RGNL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:MELBOURNE RGNL AP ANN HTG 99% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:MELBOURNE RGNL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:MELBOURNE RGNL AP ANN HTG 99% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:MELBOURNE RGNL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:MELBOURNE RGNL AP ANN HTG 99% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:MELBOURNE RGNL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:MELBOURNE RGNL AP ANN HTG 99% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:MELBOURNE RGNL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:MELBOURNE RGNL AP ANN HTG 99% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:MELBOURNE RGNL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.932840E+03,2.037607E+03,8.615803E-02,2.101469E-01,2.032097E+03,1.644981E+03,9.058254E-02,1.696538E-01,2.221190E+03,1.821092E+03,9.901152E-02,1.878169E-01
00:20:00,1.933694E+03,1.997018E+03,8.619614E-02,2.059608E-01,2.032588E+03,1.623733E+03,9.060442E-02,1.674624E-01,2.222702E+03,1.789177E+03,9.907889E-02,1.845253E-01
00:30:00,1.934456E+03,1.957568E+03,8.623009E-02,2.018922E-01,2.032968E+03,1.602927E+03,9.062135E-02,1.653165E-01,2.224003E+03,1.757983E+03,9.913690E-02,1.813082E-01
00:40:00,1.935133E+03,1.919167E+03,8.626028E-02,1.979318E-01,2.033250E+03,1.582493E+03,9.063390E-02,1.632091E-01,2.225117E+03,1.727521E+03,9.918655E-02,1.781665E-01
00:50:00,1.935734E+03,1.881762E+03,8.628705E-02,1.940741E-01,2.033444E+03,1.562431E+03,9.064256E-02,1.611400E-01,2.226063E+03,1.697804E+03,9.922874E-02,1.751017E-01
01:00:00,1.936234E+03,1.845249E+03,8.630935E-02,1.903084E-01,2.033536E+03,1.542699E+03,9.064666E-02,1.591050E-01,2.226819E+03,1.668811E+03,9.926244E-02,1.721115E-01
01:10:00,1.937187E+03,1.822472E+03,8.635181E-02,1.879593E-01,2.034432E+03,1.526791E+03,9.068659E-02,1.574644E-01,2.228329E+03,1.649080E+03,9.932972E-02,1.700766E-01
01:20:00,1.938057E+03,1.801312E+03,8.639059E-02,1.857769E-01,2.035241E+03,1.511577E+03,9.072265E-02,1.558953E-01,2.229683E+03,1.630552E+03,9.939007E-02,1.681658E-01
01:30:00,1.938856E+03,1.781523E+03,8.642621E-02,1.837361E-01,2.035974E+03,1.497084E+03,9.075536E-02,1.544005E-01,2.230901E+03,1.613140E+03,9.944439E-02,1.663700E-01
01:40:00,1.939593E+03,1.762996E+03,8.645907E-02,1.818253E-01,2.036643E+03,1.483312E+03,9.078514E-02,1.529801E-01,2.232002E+03,1.596772E+03,9.949345E-02,1.646820E-01
01:50:00,1.940275E+03,1.745604E+03,8.648949E-02,1.800316E-01,2.037253E+03,1.470238E+03,9.081236E-02,1.516318E-01,2.232998E+03,1.581382E+03,9.953787E-02,1.630947E-01
02:00:00,1.940940E+03,1.729297E+03,8.651911E-02,1.783498E-01,2.037838E+03,1.457862E+03,9.083845E-02,1.503554E-01,2.233944E+03,1.566942E+03,9.958005E-02,1.616054E-01
02:10:00,1.941592E+03,1.713751E+03,8.654818E-02,1.767465E-01,2.038405E+03,1.445911E+03,9.086369E-02,1.491229E-01,2.234851E+03,1.553120E+03,9.962045E-02,1.601800E-01
02:20:00,1.942225E+03,1.698925E+03,8.657641E-02,1.752174E-01,2.038950E+03,1.434383E+03,9.088799E-02,1.479339E-01,2.235714E+03,1.539888E+03,9.965893E-02,1.588152E-01
02:30:00,1.942837E+03,1.684780E+03,8.660370E-02,1.737586E-01,2.039473E+03,1.423268E+03,9.091133E-02,1.467876E-01,2.236535E+03,1.527200E+03,9.969551E-02,1.575067E-01
